date,portfolio,ret
2011-12-27,high,0.004895622278386542
2011-12-28,low,-0.0065005841402774565
2011-12-28,high,-0.010506365716858299
2011-12-29,low,-0.011825083424501419
2011-12-29,high,-0.0027212144141822055
2011-12-30,low,0.012114253735241387
2011-12-30,high,0.004201784795090723
2012-01-03,low,0.014389643856451072
2012-01-03,high,0.024287320973665084
2012-01-04,low,-0.004196479349225882
2012-01-04,high,0.007883908245796796
2012-01-05,low,-0.019912093583959865
2012-01-05,high,-0.009987625281133644
2012-01-06,low,-0.0016195649799399642
2012-01-06,high,-0.0029900518507883236
2012-01-09,low,0.015747373683071077
2012-01-09,high,0.008589322879377583
2012-01-10,low,0.015450022198625133
2012-01-10,high,0.014284483437174094
2012-01-11,low,-7.681089320913317e-05
2012-01-11,high,-0.013223417029026132
2012-01-12,low,-0.018831320093665338
2012-01-12,high,-0.0102179639984282
2012-01-13,low,-0.007616976449905151
2012-01-13,high,-0.002595406410147885
2012-01-17,low,0.009085154300692785
2012-01-17,high,0.010243251115660839
2012-01-18,low,-0.0022088378526504103
2012-01-18,high,0.002981615921951685
2012-01-19,low,0.010260378178426902
2012-01-19,high,0.006537734762849193
2012-01-20,low,0.00021623369038627257
2012-01-20,high,0.00036648809806447006
2012-01-23,low,0.014644501867613263
2012-01-23,high,0.012732172402856977
2012-01-24,low,0.00670630502853785
2012-01-24,high,-0.0007973094071348855
2012-01-25,low,0.006744205451347462
2012-01-25,high,0.0041148753320913575
2012-01-26,low,0.005355546312530625
2012-01-26,high,0.002756088918007776
2012-01-27,low,-0.0035816339868298334
2012-01-27,high,0.007369573912222603
2012-01-30,low,-0.01646794066918131
2012-01-30,high,-0.006725103961845359
2012-01-31,low,-0.0009565735320108128
2012-01-31,high,0.0033091771432092305
2012-02-01,low,0.0018175516261856083
2012-02-01,high,0.0017602789838335152
2012-02-02,low,0.003291100323832529
2012-02-02,high,0.0007293693495237105
2012-02-03,low,0.010675917265889142
2012-02-03,high,0.001945653064001825
2012-02-06,low,0.006034415435279925
2012-02-06,high,0.0037098636917676626
2012-02-07,low,-0.0009030560286208762
2012-02-07,high,0.0015870929640331962
2012-02-08,low,-0.0010125028546637308
2012-02-08,high,-3.2991822949707894e-05
2012-02-09,low,-0.004321388428764774
2012-02-09,high,0.0005363890490231116
2012-02-10,low,-0.007879024399239617
2012-02-10,high,-0.0102762227952618
2012-02-13,low,0.0072624719051905
2012-02-13,high,0.004662402703444463
2012-02-14,low,-0.001853575706021654
2012-02-14,high,-0.0015953008633264303
2012-02-15,low,-0.000335917020231221
2012-02-15,high,0.005922233303159442
2012-02-16,low,0.007866317991768835
2012-02-16,high,0.0027507689676051204
2012-02-17,low,0.002167000141476869
2012-02-17,high,0.0027479373000765667
2012-02-21,low,0.008731568687279622
2012-02-21,high,0.009349361400882513
2012-02-22,low,0.00031267742215057397
2012-02-22,high,0.0053260417027422855
2012-02-23,low,-0.00047285611374872253
2012-02-23,high,0.004656850892085919
2012-02-24,low,0.0014623633736086164
2012-02-24,high,0.004201823831282761
2012-02-27,low,0.0022339864955013135
2012-02-27,high,-0.0032436040799378157
2012-02-28,low,0.014131384573101131
2012-02-28,high,-0.0034484453126888428
2012-02-29,low,0.000464123626188159
2012-02-29,high,-0.00897715826376746
2012-03-01,low,-0.0015521058920841305
2012-03-01,high,0.016347086006443263
2012-03-02,low,-0.003740627536248975
2012-03-02,high,-0.005191248954212492
2012-03-05,low,-0.004164733434378806
2012-03-05,high,-0.003257463669225269
2012-03-06,low,-0.0178407315246255
2012-03-06,high,-0.015627493136485503
2012-03-07,low,-0.0037867276579349315
2012-03-07,high,0.0030322232987647327
2012-03-08,low,0.0032768232632950207
2012-03-08,high,0.008083435562510748
2012-03-09,low,0.006969846291713638
2012-03-09,high,-0.0013873339114642048
2012-03-12,low,0.0012416627059299147
2012-03-12,high,-0.004298261527271787
2012-03-13,low,0.006522569095762145
2012-03-13,high,0.00645930790993791
2012-03-14,low,-0.012427930421220758
2012-03-14,high,-0.003839821475740852
2012-03-15,low,0.006045372903666039
2012-03-15,high,0.002470923939851354
2012-03-16,low,0.0010761770725270425
2012-03-16,high,0.00563281130891709
2012-03-19,low,0.0035070467485591836
2012-03-19,high,-0.0018181783222211804
2012-03-20,low,-0.012439922257615237
2012-03-20,high,-0.011975192179730134
2012-03-21,low,-0.0005344398698357798
